館名,地址,連絡電話,服務時間,服務對象,服務內容
桃園市桃園親子館,桃園市桃園區三民路一段200號,03 3398607,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市大園親子館（含行動親子車）,桃園市大園區和平東路89號3樓,03 3863316分機41-46,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市平鎮親子館（含行動親子車）,桃園市平鎮區廣成街10號4樓,03 4921366,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市中壢親子館,桃園市中壢區元化路159號4樓 (中壢社福館4樓),03  4251620,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市八德親子館,桃園市八德區福國北街220號2樓,03  3766220,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市新屋親子館,桃園市新屋區中山路269號3、4樓,03 4971720,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市中壢五權親子館,桃園市中壢區正大街55號,03 4911788,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市平鎮新勢親子館,桃園市平鎮區延平路一段168號南區青年活動中心A棟2樓,03 4029791,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市楊梅親子館,桃園市楊梅區大模街10號3樓,03 2888378,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市龜山大華親子館,桃園市龜山區文化七路118巷7號2樓(大華里集會所2樓),03 3270237,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市蘆竹親子館,桃園市蘆竹區大新路26號,03 3236116,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市桃園龍寶貝親子館,桃園市桃園區國豐二街六號3樓,03 3605530,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市大溪親子館,桃園市大溪區永昌路80號3樓,03 3809970,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市楊梅雙榮親子館,桃園市楊梅區民族路五段107巷63號,03 4904649,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市八德興豐親子館,桃園市八德區興豐路287號3樓,03 3653184,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市觀音親子館,桃園市觀音區觀新路52號2樓(觀音區公所旁，衛生所正對面),03 4732005,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
桃園市共融親子館,,03 3731508,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動遊戲區、親子活動、親職講座、教玩具及圖書外借服務、家長支持團體、外展服務、社區宣導、育兒指導服務、志工培訓及社會福利諮詢及社會資源轉介。
2.健康成長服務：協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
復興行動親子車,桃園市復興區霞雲里六鄰15號,03 3821622,週二至週日（早上8:30~17:30）(每週一及國定假日休館),6歲以下(國小一年級前，不含一年級)之學齡前兒童及其照顧者。,"1.育兒資源服務：親子互動空間、諮詢服務、親子活動、社區宣導、育兒指導。
2.健康成長服務：個案轉介服務、協助連結兒童發展篩檢及早期療育服務。
3.家庭支持服務：協助弱勢家庭連結社會福利資源。"
